epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.03,49,,,,,,,
0,,49,,0.9270833730697632,,,,,
,0.03,99,,,,,,,
0,,99,,1.3075093030929565,,,,,
,0.03,149,,,,,,,
0,,149,,1.0728596448898315,,,,,
,0.03,199,,,,,,,
0,,199,,1.089422583580017,,,,,
,0.03,249,,,,,,,
0,,249,,1.4972898960113525,,,,,
,0.03,299,,,,,,,
0,,299,,1.0136656761169434,,,,,
0,,309,,,1.398521065711975,0.4642804265022278,4.017689228057861,0.928550124168396,1.0320124626159668
0,,309,1.0241504907608032,,,,,,
,0.03,349,,,,,,,
1,,349,,0.8625493049621582,,,,,
,0.03,399,,,,,,,
1,,399,,0.7067229747772217,,,,,
,0.03,449,,,,,,,
1,,449,,1.199540376663208,,,,,
,0.03,499,,,,,,,
1,,499,,1.3635187149047852,,,,,
,0.03,549,,,,,,,
1,,549,,0.9173904657363892,,,,,
,0.03,599,,,,,,,
1,,599,,1.6012983322143555,,,,,
1,,619,,,1.349236011505127,0.48383912444114685,3.927630662918091,0.9185643792152405,1.0181719064712524
1,,619,0.9848771691322327,,,,,,
,0.03,649,,,,,,,
2,,649,,1.2582473754882812,,,,,
,0.03,699,,,,,,,
2,,699,,0.729875385761261,,,,,
,0.03,749,,,,,,,
2,,749,,0.9312095642089844,,,,,
,0.03,799,,,,,,,
2,,799,,1.189052939414978,,,,,
,0.03,849,,,,,,,
2,,849,,0.7620728015899658,,,,,
,0.03,899,,,,,,,
2,,899,,1.4397720098495483,,,,,
2,,929,,,1.363563895225525,0.463260293006897,3.9485974311828613,0.9207152724266052,1.0187324285507202
2,,929,0.9756218791007996,,,,,,
,0.03,949,,,,,,,
3,,949,,0.863862156867981,,,,,
,0.03,999,,,,,,,
3,,999,,1.5147569179534912,,,,,
