epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.03,49,,,,,,,
0,,49,,0.6815863251686096,,,,,
,0.03,99,,,,,,,
0,,99,,0.8055864572525024,,,,,
,0.03,149,,,,,,,
0,,149,,1.7069112062454224,,,,,
,0.03,199,,,,,,,
0,,199,,0.6951185464859009,,,,,
,0.03,249,,,,,,,
0,,249,,0.8521217703819275,,,,,
,0.03,299,,,,,,,
0,,299,,1.2227448225021362,,,,,
0,,309,,,1.398533582687378,0.4642813205718994,4.017728805541992,0.9285537004470825,1.0643423795700073
0,,309,1.0566651821136475,,,,,,
,0.03,349,,,,,,,
1,,349,,0.7656540274620056,,,,,
,0.03,399,,,,,,,
1,,399,,1.5026291608810425,,,,,
,0.03,449,,,,,,,
1,,449,,1.9065344333648682,,,,,
,0.03,499,,,,,,,
1,,499,,0.9390679001808167,,,,,
,0.03,549,,,,,,,
1,,549,,0.9456008672714233,,,,,
,0.03,599,,,,,,,
1,,599,,1.6445132493972778,,,,,
1,,619,,,1.3949168920516968,0.4638559818267822,4.00937557220459,0.9269238114356995,1.0350818634033203
1,,619,1.0418994426727295,,,,,,
,0.03,649,,,,,,,
2,,649,,1.0827383995056152,,,,,
,0.03,699,,,,,,,
2,,699,,1.2115819454193115,,,,,
,0.03,749,,,,,,,
2,,749,,0.6842435002326965,,,,,
,0.03,799,,,,,,,
2,,799,,0.8840494155883789,,,,,
,0.03,849,,,,,,,
2,,849,,1.155706524848938,,,,,
,0.03,899,,,,,,,
2,,899,,0.8197797536849976,,,,,
2,,929,,,1.3985635042190552,0.4642848074436188,4.017799377441406,0.9285675883293152,1.0134717226028442
2,,929,1.0113604068756104,,,,,,
,0.03,949,,,,,,,
3,,949,,0.6014111638069153,,,,,
,0.03,999,,,,,,,
3,,999,,0.7894970178604126,,,,,
,0.03,1049,,,,,,,
3,,1049,,1.5245612859725952,,,,,
,0.03,1099,,,,,,,
3,,1099,,0.7302587032318115,,,,,
,0.03,1149,,,,,,,
3,,1149,,1.213226318359375,,,,,
,0.03,1199,,,,,,,
3,,1199,,0.9254663586616516,,,,,
3,,1239,,,1.398563027381897,0.4642847180366516,4.01779842376709,0.9285674095153809,1.016272783279419
3,,1239,1.0049108266830444,,,,,,
,0.03,1249,,,,,,,
4,,1249,,0.6888977289199829,,,,,
,0.03,1299,,,,,,,
4,,1299,,1.4886019229888916,,,,,
,0.03,1349,,,,,,,
4,,1349,,0.6437693238258362,,,,,
,0.03,1399,,,,,,,
4,,1399,,1.4127954244613647,,,,,
,0.03,1449,,,,,,,
4,,1449,,0.7486569285392761,,,,,
,0.03,1499,,,,,,,
4,,1499,,1.1591769456863403,,,,,
,0.03,1549,,,,,,,
4,,1549,,0.7574900984764099,,,,,
4,,1549,,,1.3985713720321655,0.4642857015132904,4.01781702041626,0.9285714030265808,1.0825802087783813
4,,1549,1.0311706066131592,,,,,,
